# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0010029, 0.0008673
0.0013938, 0.0007862
0.0011838, 0.000741
0.0012817, 0.0007338
0.0010414, 0.0007873
0.0011689, 0.0007649
0.001101, 0.0007629
0.0011788, 0.0008014
0.0012204, 0.0008528
0.0013441, 0.0007339
0.0011656, 0.0007978
0.001015, 0.0006914
0.0012201, 0.0006777
0.0010703, 0.0007411
0.0011686, 0.0007426
0.0011661, 0.0007099
0.0013796, 0.0009093
0.0013822, 0.0007424
0.0011376, 0.0008355
0.0014122, 0.00087
0.0010951, 0.0008112
0.001181, 0.0006984
0.0010247, 0.0008559
0.0011872, 0.000687
0.001174, 0.0007453
0.0010891, 0.0008389
0.0011875, 0.0006876
0.0010782, 0.000678
0.0011871, 0.0008254
0.0010651, 0.0006618
0.0010293, 0.0007361
0.0010825, 0.0007775
0.0015045, 0.0006973
0.0015964, 0.0008476
0.001194, 0.0008329
0.0012193, 0.0008754
0.0010776, 0.0006797
0.0013531, 0.0008088
0.0013853, 0.0007621
0.0014349, 0.000785
0.0010217, 0.0008392
0.0011722, 0.0006784
0.0014298, 0.0007832
0.0012361, 0.0008274
0.0011015, 0.0008024
0.0011401, 0.0006798
0.0010717, 0.0007778
0.0010309, 0.0007859
0.0013817, 0.0008167
0.00142, 0.0008154
0.0012868, 0.0007481
0.0012452, 0.0008045
0.0012931, 0.0007661
0.0012837, 0.0006766
0.0011798, 0.0007668
0.0011346, 0.0007778
0.0012573, 0.0006942
0.0010076, 0.0007714
0.0011877, 0.0008392
0.0010863, 0.0007671
0.001234, 0.0007077
0.0014459, 0.0008478
0.0012017, 0.0008025
0.001121, 0.0007702
0.0010528, 0.0008341
0.0010977, 0.000682
0.0011982, 0.0007404
0.0013567, 0.0007779
0.0011908, 0.0008966
0.001363, 0.0007106
0.0010143, 0.0007344
0.0013982, 0.0008043
0.0011674, 0.0007138
0.0010473, 0.0007825
0.0010882, 0.0006976
0.0011932, 0.0007817
0.0012617, 0.0008527
0.0011839, 0.0008661
0.0012061, 0.0007323
0.001093, 0.0007519
0.0013533, 0.0007428
0.001152, 0.000675
0.0010893, 0.000775
0.001145, 0.0007436
0.0012258, 0.0006863
0.001071, 0.0007715
0.0011415, 0.0006937
0.0013898, 0.0007762
0.0011129, 0.0008121
0.0010574, 0.0007633
0.0011843, 0.0007612
0.001119, 0.0008649
0.0011937, 0.000719
0.0009874, 0.0006726
0.0011259, 0.0008035
0.0011729, 0.0007012
0.0011441, 0.0007522
0.0014505, 0.0007578
0.0009562, 0.0006821
0.0011779, 0.0007508
