# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0051396, 0.131107
0.0020876, 0.0013574
0.0017737, 0.0012114
0.0009811, 0.0013257
0.0015619, 0.0013853
0.0008994, 0.0012975
0.0008238, 0.0011582
0.0007751, 0.0011611
0.0007584, 0.0011975
0.0007895, 0.0012463
0.0007847, 0.0012604
0.0006703, 0.0012212
0.0007457, 0.0013766
0.0007884, 0.0012817
0.0008223, 0.001373
0.0008007, 0.0012908
0.0010321, 0.0013046
0.0009437, 0.0013837
0.00088, 0.0013781
0.0007831, 0.0013213
0.0007996, 0.0015098
0.0008066, 0.0013636
0.0008017, 0.0011862
0.0008893, 0.0011875
0.0008299, 0.0013551
0.0007807, 0.0013929
0.0008902, 0.0013056
0.0008876, 0.0012098
0.0008088, 0.0012716
0.0008726, 0.0014339
0.0007817, 0.0013808
0.0008236, 0.0011694
0.0006964, 0.0012792
0.0010484, 0.0011306
0.0007339, 0.00117
0.0007386, 0.0011623
0.0009571, 0.0011408
0.0006898, 0.0012644
0.0007903, 0.0012733
0.0007613, 0.001145
0.000782, 0.0012105
0.0007198, 0.0011238
0.0007803, 0.0011406
0.0007447, 0.0012386
0.0008886, 0.001222
0.0006838, 0.0011793
0.0006294, 0.0012168
0.0009356, 0.0012389
0.0007186, 0.0012383
0.000711, 0.0012021
0.0010711, 0.001343
0.000899, 0.0011804
0.0007975, 0.0011244
0.00088, 0.0012789
0.0009186, 0.0013792
0.0008699, 0.001346
0.0008403, 0.0013196
0.0008464, 0.0012543
0.0008138, 0.0013068
0.0009046, 0.0014736
0.0008867, 0.0014229
0.0007785, 0.0012569
0.0008004, 0.0014833
0.0010015, 0.0013205
0.0008643, 0.0013903
0.0008646, 0.0012135
0.0008124, 0.0013835
0.001575, 0.0013101
0.0009298, 0.0013059
0.0008694, 0.0014349
0.0010993, 0.0014579
0.0009793, 0.0014695
0.0008976, 0.0012287
0.0009481, 0.0012697
0.0008123, 0.001293
0.0008996, 0.0013628
0.0008976, 0.0015122
0.0007029, 0.0013121
0.0010612, 0.001292
0.0007796, 0.0012654
0.0007188, 0.0013073
0.0009514, 0.0012178
0.000767, 0.0012367
0.0007629, 0.0012843
0.0008058, 0.0012712
0.0007424, 0.0012183
0.0008442, 0.001448
0.000754, 0.0013241
0.0006257, 0.0011663
0.0006607, 0.0011585
0.0010513, 0.0011317
0.0006433, 0.0012447
0.0007539, 0.0012793
0.0007255, 0.0011755
0.00065, 0.0011419
0.0006224, 0.001202
0.0006397, 0.0011857
0.0007054, 0.0015159
0.0007247, 0.0012922
0.0007547, 0.00127
