# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0012861, 0.0011131
0.0011275, 0.0013332
0.0011767, 0.0014757
0.001018, 0.0012948
0.0010301, 0.0011572
0.0009544, 0.0010849
0.000998, 0.0011685
0.0011221, 0.0012671
0.0010677, 0.0010887
0.0012267, 0.0011094
0.0011433, 0.001113
0.001071, 0.0012414
0.0013414, 0.0013126
0.0012267, 0.0013008
0.00104, 0.0011696
0.0009115, 0.0011484
0.0009958, 0.0011336
0.0008965, 0.0012737
0.000996, 0.0010564
0.0009347, 0.0011413
0.0010826, 0.0011557
0.0008737, 0.0010709
0.0009901, 0.0012466
0.0009728, 0.0011568
0.0008383, 0.0011531
0.0010021, 0.0011697
0.0009285, 0.00115
0.0010282, 0.0011113
0.0009334, 0.001301
0.0011987, 0.0011184
0.0009802, 0.0011941
0.0009678, 0.0010866
0.0010214, 0.0011173
0.0009003, 0.0011664
0.0010442, 0.0011385
0.000856, 0.0012158
0.000924, 0.0012487
0.0012764, 0.0010808
0.0009185, 0.0011795
0.0008916, 0.0013498
0.0008387, 0.0011152
0.000993, 0.0011013
0.001142, 0.0010955
0.0008378, 0.0010611
0.0009127, 0.0011377
0.0008418, 0.001168
0.0008436, 0.0012087
0.0010037, 0.0013349
0.0009522, 0.0010496
0.0009959, 0.0011183
0.0009828, 0.0013054
0.0011926, 0.0011267
0.0010394, 0.001159
0.0011574, 0.0011539
0.0009759, 0.0010396
0.0010097, 0.0011304
0.0010713, 0.0011469
0.0008269, 0.0012059
0.0008738, 0.0012344
0.0010072, 0.0010881
0.001054, 0.0011164
0.0010434, 0.0011624
0.0012033, 0.0011152
0.0007881, 0.0010255
0.0009809, 0.0010838
0.0010192, 0.0011243
0.0011146, 0.0011421
0.0011831, 0.001265
0.0011498, 0.0012819
0.00103, 0.0012085
0.0011599, 0.0011706
0.0009248, 0.0012565
0.001164, 0.0011065
0.0009501, 0.0011265
0.0009106, 0.0012222
0.0009387, 0.0012187
0.0009799, 0.0011497
0.0009432, 0.0013103
0.0009067, 0.0012861
0.0012891, 0.0013134
0.0009409, 0.0012261
0.0008927, 0.0011707
0.0011307, 0.0011221
0.0009027, 0.0011193
0.0009654, 0.0011486
0.0010904, 0.0012714
0.0009035, 0.0012177
0.0010812, 0.0012541
0.0010059, 0.0012809
0.0010075, 0.0011404
0.0012487, 0.0012129
0.0011442, 0.0011567
0.0013431, 0.0012594
0.0009994, 0.001137
0.0008784, 0.0011188
0.0009873, 0.0011235
0.000911, 0.0012979
0.0012988, 0.0011009
0.0009923, 0.0010954
0.0009563, 0.0011233
