# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0011917, 0.0008222
0.0010741, 0.0006961
0.0010147, 0.0006715
0.0011336, 0.0007803
0.0015007, 0.0007121
0.0009415, 0.0007418
0.0011625, 0.0006828
0.0014134, 0.0007423
0.0014756, 0.0007512
0.001414, 0.0007748
0.0011496, 0.0007677
0.0011868, 0.0007707
0.0010733, 0.0007568
0.0012457, 0.0008477
0.0012255, 0.000745
0.001571, 0.0007604
0.0011653, 0.0007444
0.0011643, 0.000708
0.001197, 0.0007167
0.0012636, 0.0008348
0.0010827, 0.0006734
0.001173, 0.0007344
0.0011159, 0.0007775
0.0011841, 0.0007364
0.0012041, 0.0007075
0.0012048, 0.0007757
0.0009635, 0.0006898
0.0012605, 0.0007655
0.001098, 0.0008509
0.0011476, 0.0006875
0.0011793, 0.0007034
0.0010668, 0.0007304
0.0010028, 0.0006869
0.0010637, 0.0007161
0.0011113, 0.000878
0.0012787, 0.0007316
0.0011256, 0.0008284
0.0009961, 0.000774
0.0010469, 0.0006744
0.0010255, 0.0007435
0.0012193, 0.000876
0.0014646, 0.0007749
0.0009794, 0.0007172
0.0010974, 0.0007846
0.0011157, 0.000808
0.0013465, 0.000717
0.0011297, 0.0009354
0.0010756, 0.0006941
0.0011763, 0.0006788
0.0009962, 0.0007512
0.0012488, 0.0006493
0.001072, 0.0006693
0.0011859, 0.0007378
0.0010701, 0.000703
0.0011865, 0.0008764
0.0016973, 0.0008966
0.001614, 0.0007749
0.0014022, 0.0007771
0.0011457, 0.0008563
0.0009964, 0.0007459
0.0011333, 0.0006853
0.0012226, 0.0008389
0.0013051, 0.0007371
0.0011039, 0.0006638
0.0014001, 0.0008399
0.0012036, 0.0007462
0.0015928, 0.0007544
0.0013763, 0.0009346
0.0012387, 0.0009274
0.0013167, 0.0007649
0.001373, 0.0008289
0.001128, 0.0007428
0.0011819, 0.0007498
0.0010869, 0.0008135
0.0011695, 0.0007268
0.0011871, 0.0007922
0.0011803, 0.0008016
0.0009417, 0.0007836
0.0012293, 0.0007877
0.0013666, 0.0007895
0.0010045, 0.0007205
0.0010665, 0.0006678
0.0012711, 0.0007616
0.0011031, 0.0007412
0.0012039, 0.0007716
0.0010607, 0.0008342
0.0011931, 0.0007434
0.0010459, 0.0007548
0.0011733, 0.0011209
0.0010093, 0.0007483
0.0013367, 0.0007674
0.0010398, 0.0008859
0.0010798, 0.0007882
0.0010604, 0.0007035
0.0011086, 0.0008684
0.0011317, 0.0007628
0.0014232, 0.0007716
0.0013761, 0.0008954
0.0011611, 0.0007953
0.0011809, 0.0008295
