# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0014458, 0.0008043
0.001486, 0.0008851
0.001238, 0.0008306
0.0011722, 0.0008075
0.0012246, 0.0008286
0.0011571, 0.0006714
0.0010556, 0.0006844
0.0011876, 0.0008867
0.0011771, 0.0007255
0.0011082, 0.0007284
0.0010866, 0.0007893
0.0010885, 0.0007618
0.0012734, 0.0009609
0.0011827, 0.0007656
0.0012361, 0.0007192
0.0010262, 0.0007175
0.0011925, 0.0007363
0.0010818, 0.0007555
0.0010807, 0.0007046
0.0010184, 0.0008138
0.0013173, 0.0007112
0.0011975, 0.000813
0.0012292, 0.0007376
0.0012857, 0.000679
0.0014026, 0.0008539
0.0013002, 0.0008314
0.001384, 0.0007896
0.0014095, 0.0007686
0.0014707, 0.0008697
0.0013776, 0.0007528
0.0011678, 0.0007279
0.0010825, 0.0008242
0.0011681, 0.0007045
0.0012172, 0.000674
0.0012383, 0.000794
0.0010831, 0.0007264
0.0012011, 0.0007402
0.001129, 0.0008859
0.0015606, 0.0007667
0.0013484, 0.0007863
0.0014327, 0.0008703
0.0013868, 0.0007634
0.0011787, 0.0007424
0.0013392, 0.0008222
0.0010715, 0.0008738
0.0012948, 0.0007494
0.0010477, 0.000792
0.0011826, 0.000721
0.0011914, 0.0007352
0.0011513, 0.0008115
0.001113, 0.0006814
0.0010499, 0.0006662
0.0015042, 0.000803
0.001218, 0.0008598
0.0014773, 0.0007341
0.0015097, 0.0008991
0.0012718, 0.0007432
0.0011032, 0.0007513
0.0010925, 0.0008404
0.0011713, 0.0007385
0.0013097, 0.0007815
0.0014526, 0.0007856
0.0011756, 0.0007129
0.0009937, 0.0007658
0.0010808, 0.0008512
0.0011239, 0.0007744
0.0012361, 0.0007961
0.0013931, 0.0009976
0.0015291, 0.0008222
0.0014898, 0.0008023
0.0012137, 0.000834
0.0014438, 0.0008052
0.0011579, 0.0008522
0.0012536, 0.0008542
0.0011451, 0.0007316
0.0010311, 0.0007578
0.0012559, 0.000841
0.0011438, 0.0007326
0.0014287, 0.0007874
0.0010711, 0.0007912
0.0011195, 0.0006898
0.0014851, 0.0008289
0.0014853, 0.0008288
0.001208, 0.0007055
0.0011851, 0.0006732
0.0010232, 0.0007497
0.0010708, 0.0006919
0.0011942, 0.00075
0.0011689, 0.0008122
0.0010915, 0.0007457
0.00133, 0.0007965
0.0011218, 0.000749
0.0009814, 0.0006886
0.0010684, 0.0006609
0.0013829, 0.0008184
0.0009945, 0.0007805
0.0011581, 0.0007421
0.0011825, 0.0008549
0.0014056, 0.0006664
0.0010608, 0.0006694
