# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0011727, 0.0012584
0.0014766, 0.0013259
0.0009513, 0.0013754
0.0010216, 0.0013411
0.0010126, 0.0013456
0.0012531, 0.00121
0.0009352, 0.0011444
0.0009744, 0.0011598
0.000943, 0.0011719
0.0009384, 0.0012251
0.0010587, 0.0012265
0.0009073, 0.0012151
0.0008448, 0.0011801
0.0009576, 0.0010485
0.001083, 0.0011555
0.0008573, 0.0013322
0.0010415, 0.0011017
0.0010035, 0.0010875
0.0010393, 0.0012168
0.0009948, 0.0010501
0.0008736, 0.0010596
0.0008904, 0.0011354
0.0010642, 0.0011148
0.0010108, 0.0010631
0.0009209, 0.0011934
0.0010204, 0.0012271
0.0009013, 0.0012811
0.0012087, 0.0013103
0.0008908, 0.0010536
0.0010185, 0.0010266
0.0008797, 0.0010514
0.0008825, 0.0012139
0.001151, 0.0012769
0.0009506, 0.0011871
0.0009571, 0.0010817
0.0010716, 0.001142
0.0009893, 0.0011412
0.0008743, 0.0011639
0.0009484, 0.0013384
0.0010048, 0.0012313
0.0008717, 0.0011313
0.0009136, 0.0010728
0.0008648, 0.0012143
0.0010195, 0.0012084
0.0009268, 0.0011486
0.0008307, 0.0010956
0.0009413, 0.0011249
0.000842, 0.0010321
0.0008794, 0.0011118
0.0009043, 0.0013316
0.0011955, 0.0011395
0.0011673, 0.0011867
0.0011525, 0.001145
0.0011528, 0.0011412
0.0013988, 0.0011624
0.0009695, 0.0010632
0.0010023, 0.0011146
0.0009357, 0.0011271
0.0009903, 0.0011405
0.0009813, 0.0012491
0.001153, 0.0012289
0.0008825, 0.0010699
0.0008512, 0.0010819
0.0009056, 0.0011766
0.0012325, 0.0012336
0.0009186, 0.0013027
0.0009748, 0.0012129
0.0010012, 0.0010805
0.0011354, 0.0011484
0.0011963, 0.0012701
0.0010615, 0.0012076
0.0009691, 0.0010991
0.000978, 0.0011861
0.0010135, 0.0011193
0.0008347, 0.0011361
0.0007796, 0.0012289
0.0009694, 0.0011192
0.0008694, 0.0012468
0.0009568, 0.0012898
0.000843, 0.0011374
0.0010668, 0.0012014
0.0011924, 0.0011391
0.0008783, 0.0011091
0.0008816, 0.0011502
0.0010053, 0.0010628
0.001002, 0.0010834
0.0011246, 0.0011852
0.0011619, 0.0012186
0.0011354, 0.0012535
0.0012722, 0.0012591
0.0011593, 0.0012736
0.0012011, 0.001232
0.0009415, 0.0011749
0.0011531, 0.0011914
0.0009113, 0.0011978
0.0011373, 0.0010995
0.0010855, 0.0011393
0.0009694, 0.0010569
0.0010132, 0.0011101
0.0009815, 0.0011822
